ГИПЕРПАРАМЕТРЫ ВСЕХ АЛГОРИТМОВ ОПТИМИЗАЦИИ
Целевой расход: 2400.0 тыс.м³/сутки

Алгоритм;Pop/Кол-во;Итерации;c1/Alpha;c2/Beta;w/Rho;q;Max Step
PID;50.0;0.3;1.5;-;-;-;800.0
PSO;30;40;1.49;1.49;0.72;-;700.0
GWO;30;40;-;-;-;-;800.0
ACO;30;40;1.0;2.0;0.1;1.0;800.0

ОПИСАНИЕ ПАРАМЕТРОВ
"PID: Kp, Ki, Kd - коэффициенты регулятора; nst_step_max - макс. шаг"
"PSO: n_particles - кол-во частиц; iters - итерации; c1,c2 - параметры; w - инерционный вес"
"GWO: n_wolves - кол-во волков; iters - итерации"
"ACO: n_ants - кол-во муравьёв; iters - итерации; alpha,beta,rho,q - параметры феромона"
