СРАВНЕНИЕ ВСЕХ 4 АЛГОРИТМОВ: PID vs PSO vs GWO vs ACO
Целевой расход: 2400.0 тыс.м³/сутки

СРАВНЕНИЕ NST (об/мин)
ГПА;PID;PSO;GWO;ACO;Max;Min;Разброс
GPA-1;9900;6077;6120;6025;9900;6025;3875
GPA-2;8500;6664;6536;6590;8500;6536;1964
GPA-3;8200;6446;6405;6573;8200;6405;1795

СРАВНЕНИЕ Q (тыс.м³/ч)
ГПА;PID;PSO;GWO;ACO;Max;Min;Разброс
GPA-1;58.05;34.10;34.60;33.50;58.05;33.50;24.55
GPA-2;40.62;34.02;33.17;33.53;40.62;33.17;7.46
GPA-3;40.54;34.07;33.80;34.84;40.54;33.80;6.75

ИТОГОВАЯ СТАТИСТИКА
Метрика;PID;PSO;GWO;ACO
Суммарный расход (тыс.м³);2715.7;2400.0;2400.0;2400.4
Функционал качества;37322826.9242;741664.1355;519102.6573;518956.0910
Средний Nst;8867;6396;6354;6396
Средний Q;46.41;34.06;33.85;33.96
